##var,id,entry_ids#format=json
##type,string,"list,string"
##group,c,c
##comment,id,entry_ids
,eg_card_backend_interface_probe,"[""eg_card_backend_interface_probe_e01"",""eg_card_backend_interface_probe_e02""]"
,eg_card_backend_circuit_breaker,"[""eg_card_backend_circuit_breaker_e01"",""eg_card_backend_circuit_breaker_e02""]"
,eg_card_backend_publish_script,"[""eg_card_backend_publish_script_e01"",""eg_card_backend_publish_script_e02""]"
,eg_card_backend_hotfix_rollback,"[""eg_card_backend_hotfix_rollback_e01"",""eg_card_backend_hotfix_rollback_e02"",""eg_card_backend_hotfix_rollback_e03""]"
,eg_card_backend_cache_hit,"[""eg_card_backend_cache_hit_e01"",""eg_card_backend_cache_hit_e02""]"
,eg_card_backend_log_collect,"[""eg_card_backend_log_collect_e01"",""eg_card_backend_log_collect_e02""]"
,eg_card_backend_timeout_retry,"[""eg_card_backend_timeout_retry_e01"",""eg_card_backend_timeout_retry_e02""]"
,eg_card_backend_service_degrade,"[""eg_card_backend_service_degrade_e01"",""eg_card_backend_service_degrade_e02"",""eg_card_backend_service_degrade_e03""]"
,eg_card_backend_traffic_shaping,"[""eg_card_backend_traffic_shaping_e01"",""eg_card_backend_traffic_shaping_e02""]"
,eg_card_backend_request_merge,"[""eg_card_backend_request_merge_e01"",""eg_card_backend_request_merge_e02""]"
,eg_card_backend_ticket_debug,"[""eg_card_backend_ticket_debug_e01"",""eg_card_backend_ticket_debug_e02""]"
,eg_card_backend_session_keep,"[""eg_card_backend_session_keep_e01"",""eg_card_backend_session_keep_e02""]"
,eg_card_backend_pool_maintain,"[""eg_card_backend_pool_maintain_e01"",""eg_card_backend_pool_maintain_e02""]"
,eg_card_backend_read_replica,"[""eg_card_backend_read_replica_e01"",""eg_card_backend_read_replica_e02""]"
,eg_card_backend_api_gateway,"[""eg_card_backend_api_gateway_e01"",""eg_card_backend_api_gateway_e02""]"
,eg_card_backend_redis_warmup,"[""eg_card_backend_redis_warmup_e01"",""eg_card_backend_redis_warmup_e02""]"
,eg_card_backend_message_queue,"[""eg_card_backend_message_queue_e01"",""eg_card_backend_message_queue_e02""]"
,eg_card_backend_sharding,"[""eg_card_backend_sharding_e01"",""eg_card_backend_sharding_e02""]"
,eg_card_backend_gray_cutover,"[""eg_card_backend_gray_cutover_e01"",""eg_card_backend_gray_cutover_e02""]"
,eg_card_backend_rate_limit,"[""eg_card_backend_rate_limit_e01"",""eg_card_backend_rate_limit_e02""]"
,eg_card_backend_async_compensate,"[""eg_card_backend_async_compensate_e01"",""eg_card_backend_async_compensate_e02""]"
,eg_card_backend_slow_query,"[""eg_card_backend_slow_query_e01"",""eg_card_backend_slow_query_e02""]"
,eg_card_backend_hot_standby,"[""eg_card_backend_hot_standby_e01"",""eg_card_backend_hot_standby_e02""]"
,eg_card_backend_container_orchestration,"[""eg_card_backend_container_orchestration_e01"",""eg_card_backend_container_orchestration_e02""]"
,eg_card_backend_flush_all,"[""eg_card_backend_flush_all_e01"",""eg_card_backend_flush_all_e02""]"
,eg_card_backend_cluster_scale,"[""eg_card_backend_cluster_scale_e01"",""eg_card_backend_cluster_scale_e02""]"
